Node,Layer,Core Domain
Nanometre,Main Concept,Formal Sciences
Particle Dynamics in Fluid Flows,Core Thematic Domain,Engineering & Technology
Severe combined immunodeficiency,Main Concept,Health & Medical Sciences
Image of God,Main Concept,Social Sciences
Fin,Main Concept,Engineering & Technology
Cultural and Social Studies in Latin America,Core Thematic Domain,Social Sciences & Humanities
Fire safety,Main Concept,Social Sciences
Genetically modified crops,Main Concept,Life Sciences
Atrial tachycardia,Main Concept,Health & Medical Sciences
Extensive-form game,Main Concept,Social Sciences & Humanities
Mortar,Main Concept,Social Sciences & Humanities
Herpesvirus Infections and Treatments,Core Thematic Domain,Health & Medical Sciences
Pleistocene-Era Hominins and Archaeology,Core Thematic Domain,Social Sciences
ROWE,Main Concept,Health & Medical Sciences
Critical infrastructure,Main Concept,Engineering & Technology
Portal venous pressure,Main Concept,Health & Medical Sciences
Background image,Main Concept,Engineering & Technology
Phytase and its Applications,Core Thematic Domain,Life Sciences
Ion beam analysis,Main Concept,Engineering & Technology
Methylation,Main Concept,Health & Medical Sciences
Core stability,Main Concept,Health & Medical Sciences
Power System Optimization and Stability,Core Thematic Domain,Engineering & Technology
Neurite,Main Concept,Health & Medical Sciences
Homosexuality,Main Concept,Social Sciences & Humanities
Electromagnetic field,Main Concept,Formal Sciences
Statistical significance,Main Concept,Formal Sciences
Doubly ionized oxygen,Main Concept,Engineering & Technology
Lower limb amputation,Main Concept,Health & Medical Sciences
Follicular phase,Main Concept,Health & Medical Sciences
Thermoelastic and Magnetoelastic Phenomena,Core Thematic Domain,Engineering & Technology
Shikimate pathway,Main Concept,Life Sciences
Adjuvant chemotherapy,Main Concept,Health & Medical Sciences
Thyroid function,Main Concept,Health & Medical Sciences
Hegelianism,Main Concept,Social Sciences & Humanities
Mews,Main Concept,Health & Medical Sciences
Copper interconnect,Main Concept,Engineering & Technology
Nursing care,Main Concept,Social Sciences
Land cover,Main Concept,Life Sciences
Energy source,Main Concept,Life Sciences
Møller–Plesset perturbation theory,Main Concept,Natural Sciences
Fieldnotes,Main Concept,Social Sciences & Humanities
Time perception,Main Concept,Social Sciences & Humanities
Molecular solid,Main Concept,Engineering & Technology
Agent architecture,Main Concept,Formal Sciences
Multiplicative noise,Main Concept,Engineering & Technology
Retrovirus,Main Concept,Life Sciences
Love wave,Main Concept,Engineering & Technology
Social planning,Main Concept,Social Sciences
Implicit memory,Main Concept,Life Sciences
Patriotism,Main Concept,Social Sciences & Humanities
Drug-eluting stent,Main Concept,Health & Medical Sciences
Agrégation,Main Concept,Life Sciences
Lipophilicity,Main Concept,Life Sciences
Caterpillar,Main Concept,Life Sciences
Program comprehension,Main Concept,Formal Sciences
Selected area diffraction,Main Concept,Health & Medical Sciences
Antisocial personality disorder,Main Concept,Social Sciences & Humanities
Discrete manufacturing,Main Concept,Natural Sciences
Stepfamily,Main Concept,Social Sciences
Spectral risk measure,Main Concept,Social Sciences & Humanities
Anaerobic Digestion and Biogas Production,Core Thematic Domain,Engineering & Technology
Addition reaction,Main Concept,Natural Sciences
Fluid Dynamics Simulations and Interactions,Core Thematic Domain,Engineering & Technology
Frailty Index,Main Concept,Health & Medical Sciences
Curriculum mapping,Main Concept,Health & Medical Sciences
Quantum Byzantine agreement,Main Concept,Formal Sciences
Neuropsychological test,Main Concept,Life Sciences
Constraint satisfaction,Main Concept,Social Sciences & Humanities
Energy harvesting,Main Concept,Engineering & Technology
CDF-based nonparametric confidence interval,Main Concept,Life Sciences
Self representation,Main Concept,Social Sciences & Humanities
Cryptography and Residue Arithmetic,Core Thematic Domain,Formal Sciences
Manganite,Main Concept,Engineering & Technology
Social psychology,Main Concept,Social Sciences & Humanities
Maximum principle,Main Concept,Formal Sciences
Metritis,Main Concept,Life Sciences
Reflex,Main Concept,Health & Medical Sciences
Simulation,Main Concept,Social Sciences & Humanities
Communication skills,Main Concept,Formal Sciences
Colorectal cancer screening,Main Concept,Health & Medical Sciences
Myocardial infarction complications,Main Concept,Engineering & Technology
Hadean,Main Concept,Natural Sciences
Numerical taxonomy,Main Concept,Formal Sciences
Total internal reflection,Main Concept,Engineering & Technology
Oxidative damage,Main Concept,Life Sciences
Disc galaxy,Main Concept,Engineering & Technology
Aorta,Main Concept,Health & Medical Sciences
Lesbian,Main Concept,Social Sciences & Humanities
Polyvinylpyrrolidone,Main Concept,Natural Sciences
Granulation,Main Concept,Life Sciences
Machine code,Main Concept,Formal Sciences
Marginal cost,Main Concept,Engineering & Technology
Membrane lipids,Main Concept,Life Sciences
Mathematical proof,Main Concept,Formal Sciences
LYME,Main Concept,Health & Medical Sciences
Latent class model,Main Concept,Social Sciences & Humanities
Biotinylation,Main Concept,Health & Medical Sciences
Multiple endocrine neoplasia,Main Concept,Health & Medical Sciences
Dihedral angle,Main Concept,Life Sciences
Sedimentary basin analysis,Main Concept,Natural Sciences
Power Transformer Diagnostics and Insulation,Core Thematic Domain,Engineering & Technology
Cucurbituril,Main Concept,Health & Medical Sciences
Tangent space,Main Concept,Engineering & Technology
Scientific modelling,Main Concept,Health & Medical Sciences
Quantitative research,Main Concept,Formal Sciences
Intelligent lighting,Main Concept,Formal Sciences
Bottom of the pyramid,Main Concept,Social Sciences & Humanities
Administrative Law and Governance,Core Thematic Domain,Social Sciences
Exact differential equation,Main Concept,Natural Sciences
Digital evidence,Main Concept,Formal Sciences
Misorientation,Main Concept,Engineering & Technology
Remote radio head,Main Concept,Formal Sciences
Hypercube,Main Concept,Formal Sciences
Data flow model,Main Concept,Engineering & Technology
Kohn–Sham equations,Main Concept,Engineering & Technology
Fulminant hepatic failure,Main Concept,Health & Medical Sciences
Particle Detector Development and Performance,Core Thematic Domain,Natural Sciences
Ancient Egypt and Archaeology,Core Thematic Domain,Social Sciences & Humanities
Docking (animal),Main Concept,Formal Sciences
GSM services,Main Concept,Formal Sciences
Transition point,Main Concept,Engineering & Technology
Gender gap,Main Concept,Social Sciences
Gut microbiome,Main Concept,Life Sciences
Ginseng,Main Concept,Life Sciences
Calcium in biology,Main Concept,Life Sciences
Fumonisin,Main Concept,Life Sciences
Psychometric testing,Main Concept,Social Sciences & Humanities
Temperate rainforest,Main Concept,Life Sciences
Profilin,Main Concept,Life Sciences
Descriptive research,Main Concept,Social Sciences & Humanities
Normalization (sociology),Main Concept,Formal Sciences
Geomechanics and Mining Engineering,Core Thematic Domain,Engineering & Technology
Data stream clustering,Main Concept,Formal Sciences
Recombinant factor VIIa,Main Concept,Health & Medical Sciences
Bourgeoisie,Main Concept,Social Sciences & Humanities
Fetal surgery,Main Concept,Health & Medical Sciences
Management control system,Main Concept,Social Sciences & Humanities
RNA polymerase,Main Concept,Health & Medical Sciences
Pathogenesis,Main Concept,Life Sciences
Space Exploration and Technology,Core Thematic Domain,Engineering & Technology
Affective computing,Main Concept,Social Sciences & Humanities
Medical practice,Main Concept,Health & Medical Sciences
Biopolymer Synthesis and Applications,Core Thematic Domain,Life Sciences
Alarm signal,Main Concept,Formal Sciences
Movie theater,Main Concept,Social Sciences & Humanities
Access technology,Main Concept,Engineering & Technology
Chaperone (clinical),Main Concept,Health & Medical Sciences
Fortification,Main Concept,Health & Medical Sciences
Maxwell's equations,Main Concept,Natural Sciences
Mesoporous organosilica,Main Concept,Engineering & Technology
Diverticular Disease and Complications,Core Thematic Domain,Health & Medical Sciences
Nanoparticle-Based Drug Delivery,Core Thematic Domain,Engineering & Technology
Microsporum gypseum,Main Concept,Life Sciences
Microphone array,Main Concept,Engineering & Technology
Technological literacy,Main Concept,Social Sciences
Electronic data capture,Main Concept,Formal Sciences
Pulsed laser deposition,Main Concept,Engineering & Technology
Medical Imaging Techniques and Applications,Core Thematic Domain,Health & Medical Sciences
Lymphoid hyperplasia,Main Concept,Health & Medical Sciences
Probiotics and Fermented Foods,Core Thematic Domain,Life Sciences
Indentation hardness,Main Concept,Engineering & Technology
Nalorphine,Main Concept,Life Sciences
Migration and Exile Studies,Core Thematic Domain,Social Sciences
Multiple isomorphous replacement,Main Concept,Life Sciences
Administration (probate law),Main Concept,Social Sciences & Humanities
Additive model,Main Concept,Life Sciences
Breakout,Main Concept,Natural Sciences
Industrial relations,Main Concept,Social Sciences & Humanities
Frame analysis,Main Concept,Social Sciences & Humanities
Turbulence modeling,Main Concept,Natural Sciences
Dental Prophylaxis,Main Concept,Health & Medical Sciences
Occlusion,Main Concept,Formal Sciences
Nosology,Main Concept,Health & Medical Sciences
Muscle Physiology and Disorders,Core Thematic Domain,Life Sciences
Gene flow,Main Concept,Life Sciences
Extreme value theory,Main Concept,Natural Sciences
Sky,Main Concept,Natural Sciences
Dangling bond,Main Concept,Engineering & Technology
Energy and Environmental Sustainability,Core Thematic Domain,Engineering & Technology
Exponential growth,Main Concept,Formal Sciences
Abusive supervision,Main Concept,Social Sciences & Humanities
Game studies,Main Concept,Social Sciences & Humanities
Differential (mechanical device),Main Concept,Social Sciences & Humanities
Phonophobia,Main Concept,Health & Medical Sciences
Life style,Main Concept,Social Sciences
Immortalised cell line,Main Concept,Health & Medical Sciences
KOSR,Main Concept,Health & Medical Sciences
Facilitation,Main Concept,Social Sciences & Humanities
Multiplex polymerase chain reaction,Main Concept,Life Sciences
Routing (electronic design automation),Main Concept,Formal Sciences
Guide RNA,Main Concept,Health & Medical Sciences
Optical IP Switching,Main Concept,Formal Sciences
Monetary theory,Main Concept,Social Sciences & Humanities
Hypersonic wind tunnel,Main Concept,Engineering & Technology
Petroleum geology,Main Concept,Natural Sciences
Global Educational Reforms and Inequalities,Core Thematic Domain,Social Sciences
Bird flight,Main Concept,Engineering & Technology
Organometallic Complex Synthesis and Catalysis,Core Thematic Domain,Natural Sciences
Heat shock proteins research,Core Thematic Domain,Life Sciences
UTC offset,Main Concept,Engineering & Technology
Mesh analysis,Main Concept,Engineering & Technology
Ticlopidine,Main Concept,Health & Medical Sciences
Middle latitudes,Main Concept,Life Sciences
Accelerated life testing,Main Concept,Engineering & Technology
Linear particle accelerator,Main Concept,Natural Sciences
Montessori method,Main Concept,Social Sciences
Priority inheritance,Main Concept,Formal Sciences
Vocabulary development,Main Concept,Social Sciences
Glucose-6-phosphate dehydrogenase,Main Concept,Health & Medical Sciences
Military History and Strategy,Core Thematic Domain,Social Sciences
Nonribosomal peptide,Main Concept,Life Sciences
Hill differential equation,Main Concept,Natural Sciences
Passion,Main Concept,Social Sciences & Humanities
Labor Movements and Unions,Core Thematic Domain,Social Sciences
Life support,Main Concept,Health & Medical Sciences
"Libraries, Manuscripts, and Books",Core Thematic Domain,Social Sciences & Humanities
Transonic,Main Concept,Engineering & Technology
Pharmacy,Academic Subdiscipline,Health & Medical Sciences
Winter Sports Injuries and Performance,Core Thematic Domain,Health & Medical Sciences
Formal Methods in Verification,Core Thematic Domain,Formal Sciences
Sparse approximation,Main Concept,Formal Sciences
Citrullus lanatus,Main Concept,Health & Medical Sciences
Status epilepticus,Main Concept,Life Sciences
Early Childhood Education and Development,Core Thematic Domain,Social Sciences
Shoulder Fracture,Main Concept,Health & Medical Sciences
Parent–offspring conflict,Main Concept,Social Sciences & Humanities
Cyber-attack,Main Concept,Formal Sciences
(+)-Naloxone,Main Concept,Health & Medical Sciences
Cushion,Main Concept,Engineering & Technology
Rényi entropy,Main Concept,Engineering & Technology
Latin American Legal and Economic Studies,Core Thematic Domain,Social Sciences
Internationalism (politics),Main Concept,Social Sciences & Humanities
Medical profession,Main Concept,Social Sciences & Humanities
Thiazolidinedione,Main Concept,Health & Medical Sciences
Myelin,Main Concept,Health & Medical Sciences
Organizational engineering,Main Concept,Social Sciences & Humanities
Indirect pathway of movement,Main Concept,Health & Medical Sciences
Hernia repair and management,Core Thematic Domain,Health & Medical Sciences
Social vulnerability,Main Concept,Life Sciences
Cell signaling,Main Concept,Life Sciences
Coaxial,Main Concept,Engineering & Technology
Minor (academic),Main Concept,Formal Sciences
Dumping,Main Concept,Health & Medical Sciences
Insolvency,Main Concept,Social Sciences
Specific impulse,Main Concept,Engineering & Technology
Social Sciences and Governance,Core Thematic Domain,Social Sciences
Transmission and infection of H5N1,Main Concept,Life Sciences
Vlasov equation,Main Concept,Natural Sciences
Biological Activity of Diterpenoids and Biflavonoids,Core Thematic Domain,Life Sciences
Medicinal Plant Research,Core Thematic Domain,Life Sciences
Dysarthria,Main Concept,Health & Medical Sciences
Axon Guidance and Neuronal Signaling,Core Thematic Domain,Life Sciences
Xyloglucan,Main Concept,Life Sciences
Orbital angular momentum of light,Main Concept,Natural Sciences
Holomorphic and Operator Theory,Core Thematic Domain,Formal Sciences
Stock market,Main Concept,Formal Sciences
Optical Systems and Laser Technology,Core Thematic Domain,Engineering & Technology
Arctic and Antarctic ice dynamics,Core Thematic Domain,Natural Sciences
Spanish Culture and Identity,Core Thematic Domain,Social Sciences & Humanities
German,Main Concept,Life Sciences
Fatal familial insomnia,Main Concept,Health & Medical Sciences
Vaccine safety,Main Concept,Health & Medical Sciences
Personal hygiene,Main Concept,Social Sciences
Mobile manipulator,Main Concept,Formal Sciences
Human evolution,Main Concept,Health & Medical Sciences
Ruler,Main Concept,Social Sciences
Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),Main Concept,Social Sciences & Humanities
Analytic philosophy,Main Concept,Social Sciences & Humanities
Isoeugenol,Main Concept,Natural Sciences
Function (biology),Main Concept,Social Sciences & Humanities
Physics education,Main Concept,Social Sciences & Humanities
Computer experiment,Main Concept,Natural Sciences
Cubane,Main Concept,Natural Sciences
Mental Health via Writing,Core Thematic Domain,Social Sciences & Humanities
Obstructive sleep apnea,Main Concept,Social Sciences & Humanities
Linearization,Main Concept,Formal Sciences
Cloud testing,Main Concept,Formal Sciences
Vulnerability assessment,Main Concept,Formal Sciences
Atmosphere (unit),Main Concept,Formal Sciences
Night sky,Main Concept,Engineering & Technology
Local area network,Main Concept,Formal Sciences
Angiotensin-converting enzyme,Main Concept,Health & Medical Sciences
Endogamy,Main Concept,Social Sciences
Census,Main Concept,Life Sciences
Viral-associated cancers and disorders,Core Thematic Domain,Health & Medical Sciences
Connectivity,Main Concept,Formal Sciences
Scaling law,Main Concept,Formal Sciences
Giant magnetoresistance,Main Concept,Engineering & Technology
Fluoride,Main Concept,Health & Medical Sciences
Pilot test,Main Concept,Formal Sciences
Atrium (architecture),Main Concept,Health & Medical Sciences
No-go theorem,Main Concept,Natural Sciences
Delocalized electron,Main Concept,Engineering & Technology
Soft Robotics and Applications,Core Thematic Domain,Engineering & Technology
Water supply network,Main Concept,Social Sciences
RANKL,Main Concept,Health & Medical Sciences
Chemically modified electrode,Main Concept,Natural Sciences
Biochemical and Molecular Research,Core Thematic Domain,Life Sciences
Alertness,Main Concept,Social Sciences & Humanities
Pi,Main Concept,Engineering & Technology
Convulsant,Main Concept,Natural Sciences
"Migration, Health, Geopolitics, Historical Geography",Core Thematic Domain,Social Sciences
South asia,Main Concept,Life Sciences
Internally displaced person,Main Concept,Social Sciences
Spiral galaxy,Main Concept,Natural Sciences
Coma (optics),Main Concept,Health & Medical Sciences
Lithium-ion battery,Main Concept,Engineering & Technology
Appell series,Main Concept,Natural Sciences
Older Adults Driving Studies,Core Thematic Domain,Health & Medical Sciences
Enterobacteriaceae Infections,Main Concept,Life Sciences
Scarabaeidae,Main Concept,Natural Sciences
Ellagitannin,Main Concept,Life Sciences
Polydactyly,Main Concept,Life Sciences
Density matrix,Main Concept,Formal Sciences
Cantor set,Main Concept,Formal Sciences
Phase velocity,Main Concept,Engineering & Technology
Torsades de pointes,Main Concept,Engineering & Technology
Linear predictive coding,Main Concept,Formal Sciences
Delta-sigma modulation,Main Concept,Formal Sciences
Sanskrit,Main Concept,Social Sciences & Humanities
Insertional mutagenesis,Main Concept,Life Sciences
Phragmites,Main Concept,Engineering & Technology
Paraoxonase enzyme and polymorphisms,Core Thematic Domain,Life Sciences
MCR-1,Main Concept,Health & Medical Sciences
Inorganic ions,Main Concept,Natural Sciences
Physical system,Main Concept,Formal Sciences
Landfill gas,Main Concept,Life Sciences
Heaven,Main Concept,Social Sciences & Humanities
Well-founded semantics,Main Concept,Formal Sciences
Citation analysis,Main Concept,Formal Sciences
Digital signal,Main Concept,Formal Sciences
Package design,Main Concept,Natural Sciences
Wireless,Main Concept,Formal Sciences
Vietnamese History and Culture Studies,Core Thematic Domain,Social Sciences
Pattern matching,Main Concept,Formal Sciences
Inter-Access Point Protocol,Main Concept,Formal Sciences
Autowave,Main Concept,Natural Sciences
Multispectral image,Main Concept,Health & Medical Sciences
Constraint Satisfaction and Optimization,Core Thematic Domain,Formal Sciences
QRS complex,Main Concept,Health & Medical Sciences
Standard score,Main Concept,Health & Medical Sciences
Wavelength-division multiplexing,Main Concept,Natural Sciences
Static routing,Main Concept,Formal Sciences
Wind gradient,Main Concept,Engineering & Technology
Swarm behaviour,Main Concept,Formal Sciences
Critical point (mathematics),Main Concept,Formal Sciences
Microwave power,Main Concept,Life Sciences
Automatic summarization,Main Concept,Formal Sciences
Tracheal intubation,Main Concept,Health & Medical Sciences
Code-switching,Main Concept,Formal Sciences
Bone marrow,Main Concept,Formal Sciences
Supervisory control theory,Main Concept,Formal Sciences
Simplex algorithm,Main Concept,Formal Sciences
Thyroid neoplasm,Main Concept,Health & Medical Sciences
Coccidiosis,Main Concept,Life Sciences
Emergency and Acute Care Studies,Core Thematic Domain,Health & Medical Sciences
Microbial Metabolism and Applications,Core Thematic Domain,Life Sciences
Short circuit ratio,Main Concept,Engineering & Technology
Fixation index,Main Concept,Health & Medical Sciences
Beauty,Main Concept,Social Sciences & Humanities
Molecular orbital,Main Concept,Engineering & Technology
Hydraulic head,Main Concept,Natural Sciences
Herd,Main Concept,Formal Sciences
Plant evolution,Main Concept,Life Sciences
Topological and Geometric Data Analysis,Core Thematic Domain,Formal Sciences
Mexico city,Main Concept,Social Sciences
Quality management,Main Concept,Formal Sciences
Galaxy groups and clusters,Main Concept,Natural Sciences
System safety,Main Concept,Engineering & Technology
Stability constants of complexes,Main Concept,Natural Sciences
Chronic fatigue syndrome,Main Concept,Health & Medical Sciences
Bayesian network,Main Concept,Health & Medical Sciences
Hygrothermal properties of building materials,Core Thematic Domain,Engineering & Technology
Bone canaliculus,Main Concept,Life Sciences
Serial concatenated convolutional codes,Main Concept,Formal Sciences
Utterance,Main Concept,Social Sciences & Humanities
Taxonomy (biology),Main Concept,Social Sciences & Humanities
Diabetes in pregnancy,Main Concept,Health & Medical Sciences
Hindlimb,Main Concept,Health & Medical Sciences
Magnolol,Main Concept,Health & Medical Sciences
Barium,Main Concept,Engineering & Technology
Allopregnanolone,Main Concept,Natural Sciences
Oocyte,Main Concept,Life Sciences
Catheter ablation,Main Concept,Health & Medical Sciences
Energy operator,Main Concept,Natural Sciences
Rib cage,Main Concept,Health & Medical Sciences
Road surface,Main Concept,Engineering & Technology
Hidden curriculum,Main Concept,Health & Medical Sciences
Pasture and Agricultural Systems,Core Thematic Domain,Life Sciences
Tribe,Main Concept,Life Sciences
Dermatological and COVID-19 studies,Core Thematic Domain,Health & Medical Sciences
Inductive programming,Main Concept,Formal Sciences
Apparent horizon,Main Concept,Natural Sciences
Lipid droplet,Main Concept,Life Sciences
Interleukin 8,Main Concept,Health & Medical Sciences
Animal testing and alternatives,Core Thematic Domain,Life Sciences
Sewage,Main Concept,Natural Sciences
Duct (anatomy),Main Concept,Health & Medical Sciences
Health information exchange,Main Concept,Health & Medical Sciences
Women's Health Initiative,Main Concept,Health & Medical Sciences
SOX2,Main Concept,Health & Medical Sciences
Curie,Main Concept,Engineering & Technology
Overhead (engineering),Main Concept,Formal Sciences
Leaf spot,Main Concept,Life Sciences
Materialism,Main Concept,Social Sciences & Humanities
Granularity,Main Concept,Formal Sciences
Hypothalamic disease,Main Concept,Health & Medical Sciences
Medical nutrition therapy,Main Concept,Health & Medical Sciences
Environmental quality,Main Concept,Formal Sciences
Majorana fermion,Main Concept,Formal Sciences
Dendritic spine,Main Concept,Health & Medical Sciences
Deciduous teeth,Main Concept,Life Sciences
Lexical decision task,Main Concept,Social Sciences & Humanities
Transition (genetics),Main Concept,Health & Medical Sciences
Helminthiasis,Main Concept,Health & Medical Sciences
Building information modeling,Main Concept,Engineering & Technology
Healthcare Facilities Design and Sustainability,Core Thematic Domain,Social Sciences
Indignation,Main Concept,Social Sciences & Humanities
Solitaire Cryptographic Algorithm,Main Concept,Health & Medical Sciences
Interleukin,Main Concept,Health & Medical Sciences
Protein filament,Main Concept,Health & Medical Sciences
Aura,Main Concept,Health & Medical Sciences
Self driving,Main Concept,Engineering & Technology
Clinical Reasoning and Diagnostic Skills,Core Thematic Domain,Health & Medical Sciences
Environmental radioactivity,Main Concept,Engineering & Technology
Bundle,Main Concept,Formal Sciences
Phase diagram,Main Concept,Life Sciences
Backbone network,Main Concept,Engineering & Technology
Wegener granulomatosis,Main Concept,Health & Medical Sciences
Rumen,Main Concept,Life Sciences
Information design,Main Concept,Social Sciences & Humanities
Agricultural experiment station,Main Concept,Life Sciences
Emotional competence,Main Concept,Social Sciences & Humanities
Clock drift,Main Concept,Formal Sciences
Systems Modeling Language,Main Concept,Formal Sciences
Electron spectroscopy,Main Concept,Engineering & Technology
Langmuir,Main Concept,Natural Sciences
Boundary-work,Main Concept,Social Sciences & Humanities
Natural product,Main Concept,Life Sciences
Jatropha,Main Concept,Natural Sciences
Microelectronics,Main Concept,Formal Sciences
Complement (music),Main Concept,Social Sciences & Humanities
Simple random sample,Main Concept,Formal Sciences
Sphingolipid,Main Concept,Life Sciences
Axial compressor,Main Concept,Engineering & Technology
Injury prevention,Main Concept,Social Sciences & Humanities
Pinhole (optics),Main Concept,Engineering & Technology
Paradoxical embolism,Main Concept,Health & Medical Sciences
Maghemite,Main Concept,Engineering & Technology
Ferric,Main Concept,Health & Medical Sciences
Trypanosomiasis,Main Concept,Health & Medical Sciences
Combustion and flame dynamics,Core Thematic Domain,Engineering & Technology
Ritonavir,Main Concept,Health & Medical Sciences
Karyotype,Main Concept,Life Sciences
Ignorance,Main Concept,Formal Sciences
Smart contract,Main Concept,Formal Sciences
Humanism,Main Concept,Social Sciences & Humanities
Infectivity,Main Concept,Life Sciences
Foramen ovale (heart),Main Concept,Health & Medical Sciences
Cultural competence,Main Concept,Social Sciences & Humanities
Ribosome biogenesis,Main Concept,Social Sciences & Humanities
Ovary,Main Concept,Health & Medical Sciences
Confidence interval,Main Concept,Social Sciences & Humanities
Dupuytren's contracture,Main Concept,Health & Medical Sciences
Mental capacity,Main Concept,Social Sciences & Humanities
Estrogen receptor beta,Main Concept,Health & Medical Sciences
Platelet-derived growth factor,Main Concept,Health & Medical Sciences
Leishmaniasis,Main Concept,Life Sciences
Photochemistry,Main Concept,Life Sciences
Hartree–Fock method,Main Concept,Engineering & Technology
Vocational education,Main Concept,Social Sciences & Humanities
Enumerative combinatorics,Main Concept,Formal Sciences
Chemotherapy,Main Concept,Life Sciences
Criminal Justice and Corrections Analysis,Core Thematic Domain,Social Sciences
Pozzolan,Main Concept,Engineering & Technology
Infant Nutrition and Health,Core Thematic Domain,Health & Medical Sciences
Diabetic neuropathy,Main Concept,Health & Medical Sciences
Proto-Oncogene Proteins c-akt,Main Concept,Life Sciences
Confirmation bias,Main Concept,Social Sciences & Humanities
Many-body problem,Main Concept,Natural Sciences
Molecular switch,Main Concept,Engineering & Technology
Hubble Ultra-Deep Field,Main Concept,Natural Sciences
Temperature control,Main Concept,Formal Sciences
Economic liberalization,Main Concept,Social Sciences
Vitrification,Main Concept,Life Sciences
Seismic risk,Main Concept,Engineering & Technology
Oryza sativa,Main Concept,Life Sciences
Incomplete contracts,Main Concept,Social Sciences & Humanities
Chytridiomycota,Main Concept,Life Sciences
Turgor pressure,Main Concept,Life Sciences
Noun phrase,Main Concept,Social Sciences & Humanities
Skin and Cellular Biology Research,Core Thematic Domain,Life Sciences
Infrared spectroscopy,Main Concept,Life Sciences
Carbohydrate metabolism,Main Concept,Life Sciences
"Rings, Modules, and Algebras",Core Thematic Domain,Formal Sciences
Level of measurement,Main Concept,Formal Sciences
Hookworm Infections,Main Concept,Life Sciences
Biological Research and Disease Studies,Core Thematic Domain,Life Sciences
Quantum Dots Synthesis And Properties,Core Thematic Domain,Engineering & Technology
Dissociative identity disorder,Main Concept,Social Sciences & Humanities
Power factor,Main Concept,Engineering & Technology
Power Systems and Technologies,Core Thematic Domain,Engineering & Technology
Mood disorders,Main Concept,Social Sciences & Humanities
Neuroeconomics,Main Concept,Life Sciences
Iontophoresis,Main Concept,Life Sciences
Seagrass,Main Concept,Natural Sciences
Lepidocrocite,Main Concept,Natural Sciences
History of medicine,Main Concept,Social Sciences & Humanities
Myocyte,Main Concept,Health & Medical Sciences
Fault tolerance,Main Concept,Formal Sciences
Keratitis,Main Concept,Life Sciences
STRIPS,Main Concept,Social Sciences & Humanities
Signalling pathways,Main Concept,Life Sciences
Visual Culture and Art Theory,Core Thematic Domain,Social Sciences & Humanities
Photoactivated localization microscopy,Main Concept,Natural Sciences
Bundle of rights,Main Concept,Social Sciences
Literacy and Educational Practices,Core Thematic Domain,Social Sciences
"Health, Education, and Cultural Studies",Core Thematic Domain,Social Sciences
Phosphonium,Main Concept,Natural Sciences
Maximum temperature,Main Concept,Life Sciences
Nontronite,Main Concept,Engineering & Technology
Spectral triple,Main Concept,Formal Sciences
Underwater,Main Concept,Natural Sciences
Driving cycle,Main Concept,Engineering & Technology
EXPOSE,Main Concept,Social Sciences & Humanities
Religious experience,Main Concept,Formal Sciences
Filter paper,Main Concept,Natural Sciences
COVID-19 Clinical Research Studies,Core Thematic Domain,Health & Medical Sciences
Covariant transformation,Main Concept,Natural Sciences
Right heart,Main Concept,Health & Medical Sciences
Library Collection Development and Digital Resources,Core Thematic Domain,Formal Sciences
Pressure head,Main Concept,Natural Sciences
Coefficient of determination,Main Concept,Engineering & Technology
Experimental autoimmune encephalomyelitis,Main Concept,Health & Medical Sciences
Acetabulum,Main Concept,Health & Medical Sciences
Nonsense,Main Concept,Health & Medical Sciences
Lock (firearm),Main Concept,Formal Sciences
"Education, sociology, and vocational training",Core Thematic Domain,Social Sciences
Cystatin C,Main Concept,Health & Medical Sciences
Activity tracker,Main Concept,Formal Sciences
Health and Well-being Studies,Core Thematic Domain,Social Sciences & Humanities
Education and Military Integration,Core Thematic Domain,Social Sciences
Animal species,Main Concept,Life Sciences
transportation and logistics systems,Core Thematic Domain,Social Sciences
Joint disease,Main Concept,Health & Medical Sciences
Mass distribution,Main Concept,Natural Sciences
Publication,Main Concept,Formal Sciences
Hard power,Main Concept,Social Sciences
Thermal Regulation in Medicine,Core Thematic Domain,Health & Medical Sciences
Nightmare,Main Concept,Social Sciences & Humanities
CMOS,Main Concept,Formal Sciences
Wound Healing and Treatments,Core Thematic Domain,Health & Medical Sciences
Microtrauma,Main Concept,Social Sciences & Humanities
Quality-adjusted life year,Main Concept,Health & Medical Sciences
Technical communication,Main Concept,Formal Sciences
XhoI,Main Concept,Life Sciences
Humanity,Main Concept,Social Sciences & Humanities
Knowledge Management and Sharing,Core Thematic Domain,Social Sciences
Data processing,Main Concept,Formal Sciences
Trichloroacetic acid,Main Concept,Life Sciences
Hypertrophic cardiomyopathy,Main Concept,Health & Medical Sciences
Brain ischemia,Main Concept,Health & Medical Sciences
ATP-binding cassette transporter,Main Concept,Health & Medical Sciences
Social Capital and Networks,Core Thematic Domain,Social Sciences
Pars reticulata,Main Concept,Life Sciences
Intellectual capital,Main Concept,Social Sciences
Jurkat cells,Main Concept,Natural Sciences
Adaptation (eye),Main Concept,Social Sciences & Humanities
Digital scholarship,Main Concept,Formal Sciences
Pneumococcal vaccine,Main Concept,Health & Medical Sciences
Drosophila suzukii,Main Concept,Life Sciences
Nanogenerator,Main Concept,Engineering & Technology
Beetle Biology and Toxicology Studies,Core Thematic Domain,Life Sciences
